name,mapnumber,type,desirability,capacity,length,x,y,Duration (s),Additional Time,pricerange_min,pricerange_max
Accelerator,5,ride,9,48,3,723,428,45,90,0,0
Battlestar Galactica: CYLON,6,ride,24,16,3,723,478,105,60,0,0
Battlestar Galactica: HUMAN,7,ride,24,16,3,723,458,105,60,0,0
Canopy Flyer,12,ride,15,8,3,385,675,90,60,0,0
Dino-Soarin,11,ride,9,24,3,407,725,90,90,0,0
Enchanted Airways,18,ride,9,16,3,219,513,90,60,0,0
Jurassic Park Rapids Adventure,10,ride,21,9,6,554,689,300,40,0,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2,ride,9,90,6,607,323,240,90,0,0
Magic Potion Spin,16,ride,9,12,3,168,645,90,90,0,0
Puss In Boots' Giant Journey,14,ride,12,9,3,191,713,120,60,0,0
Revenge of the Mummy,8,ride,27,16,4,674,630,135,60,0,0
Shrek 4-D Adventure,17,ride,18,375,14,176,596,720,90,0,0
TRANSFORMERS The Ride: The Ultimate 3D Battle,4,ride,21,12,6,744,357,300,60,0,0
Treasure Hunters,9,ride,9,4,3,559,606,120,60,0,0
Starbucks,0,restaurant,4,200,45,458,169,1200,0,1,10
Mel's Drive-In,0,restaurant,3,408,60,522,317,1800,0,10,20
Loui's NY Pizza Parlor,0,restaurant,2,270,45,650,282,1800,0,20,30
StarBot Café,0,restaurant,2,220,45,729,390,1200,0,20,30
Oasis Spice Café,0,restaurant,4,256,45,681,554,1200,0,10,20
Discovery Food Court,0,restaurant,3,500,60,438,571,1800,0,10,20
Fossil Fuel,0,restaurant,2,100,30,366,645,1800,0,10,20
Goldilock,0,restaurant,4,242,45,281,645,1800,0,10,20
Friar's Good Food,0,restaurant,3,178,30,323,571,1800,0,10,20